Cycle,robot1_Total_Reward,robot1_Avg_Reward_per_Step,robot2_Total_Reward,robot2_Avg_Reward_per_Step,robot3_Total_Reward,robot3_Avg_Reward_per_Step,System_Total_Reward,System_Avg_Reward_per_Step
1900,-19538.55,-19.5385,-223240.98,-223.2410,-47945.14,-47.9451,-290724.67,-96.9082
1910,-21936.17,-21.9362,-35865.91,-35.8659,-37548.21,-37.5482,-95350.30,-31.7834
1920,-142595.93,-142.5959,-20380.06,-20.3801,-39064.56,-39.0646,-202040.55,-67.3468
1930,-32574.44,-32.5744,-29661.23,-29.6612,-44579.29,-44.5793,-106814.96,-35.6050
1940,-121349.51,-121.3495,-84479.53,-84.4795,-30405.01,-30.4050,-236234.05,-78.7447
1950,-28216.87,-28.2169,-26038.85,-26.0389,-43021.11,-43.0211,-97276.83,-32.4256
1960,-124166.62,-124.1666,-71293.38,-71.2934,-21358.96,-21.3590,-216818.96,-72.2730
1970,-18981.88,-18.9819,-31192.60,-31.1926,-34556.78,-34.5568,-84731.26,-28.2438
1980,-277778.61,-277.7786,-31779.89,-31.7799,-37220.77,-37.2208,-346779.27,-115.5931
1990,-43366.02,-43.3660,-13331.02,-13.3310,-43709.20,-43.7092,-100406.23,-33.4687
2000,-28186.46,-28.1865,-38582.82,-38.5828,-17449.15,-17.4492,-84218.44,-28.0728
2010,-41309.60,-41.3096,-32905.81,-32.9058,-36526.69,-36.5267,-110742.10,-36.9140
2020,-29972.91,-29.9729,-34197.72,-34.1977,-32716.16,-32.7162,-96886.79,-32.2956
2030,-30061.26,-30.0613,-44099.09,-44.0991,-94972.64,-94.9726,-169133.00,-56.3777
2040,-25694.57,-25.6946,-25394.31,-25.3943,-52473.04,-52.4730,-103561.92,-34.5206
2050,-27710.66,-27.7107,-31210.00,-31.2100,-37001.58,-37.0016,-95922.24,-31.9741
2060,-37392.11,-37.3921,-31696.28,-31.6963,-46107.42,-46.1074,-115195.81,-38.3986
2070,-29682.13,-29.6821,-25126.40,-25.1264,-33463.06,-33.4631,-88271.59,-29.4239
2080,-26089.19,-26.0892,-27232.12,-27.2321,-36941.01,-36.9410,-90262.32,-30.0874
2090,-31105.80,-31.1058,-31785.28,-31.7853,-35530.76,-35.5308,-98421.84,-32.8073
2100,-27464.44,-27.4644,-35839.82,-35.8398,-34067.71,-34.0677,-97371.97,-32.4573
2110,-34697.57,-34.6976,-36171.12,-36.1711,-40917.25,-40.9172,-111785.94,-37.2620
2120,-44079.99,-44.0800,-29428.88,-29.4289,-46406.11,-46.4061,-119914.98,-39.9717
2130,-29561.67,-29.5617,-39824.05,-39.8241,-34564.55,-34.5645,-103950.27,-34.6501
Cycle,robot1_Total_Reward,robot1_Avg_Reward_per_Step,robot2_Total_Reward,robot2_Avg_Reward_per_Step,robot3_Total_Reward,robot3_Avg_Reward_per_Step,System_Total_Reward,System_Avg_Reward_per_Step
2140,-32819.19,-32.8192,-44325.43,-44.3254,-30095.86,-30.0959,-107240.47,-35.7468
2150,-37666.85,-37.6669,-36273.86,-36.2739,-34878.59,-34.8786,-108819.30,-36.2731
2160,-38423.19,-38.4232,-40587.11,-40.5871,-46257.23,-46.2572,-125267.52,-41.7558
2170,-33396.96,-33.3970,-69536.79,-69.5368,-56159.19,-56.1592,-159092.95,-53.0310
2180,-50752.57,-50.7526,-50029.27,-50.0293,-30625.17,-30.6252,-131407.02,-43.8023
2190,-38733.03,-38.7330,-49773.37,-49.7734,-26579.05,-26.5791,-115085.45,-38.3618
2200,-34251.95,-34.2520,-36652.51,-36.6525,-42663.70,-42.6637,-113568.16,-37.8561
2210,-52893.53,-52.8935,-46187.62,-46.1876,-30636.44,-30.6364,-129717.59,-43.2392
2220,-33386.80,-33.3868,-63087.85,-63.0878,-51761.13,-51.7611,-148235.78,-49.4119
2230,-35117.61,-35.1176,-46729.02,-46.7290,-51011.84,-51.0118,-132858.47,-44.2862
2240,-133179.87,-133.1799,-70036.88,-70.0369,-96693.35,-96.6933,-299910.10,-99.9700
2250,-61810.52,-61.8105,-40751.53,-40.7515,-44628.28,-44.6283,-147190.33,-49.0634
2260,-49811.76,-49.8118,-51299.16,-51.2992,-53242.07,-53.2421,-154352.99,-51.4510
2270,-50130.24,-50.1302,-48220.11,-48.2201,-41657.21,-41.6572,-140007.56,-46.6692
2280,-44128.32,-44.1283,-66942.61,-66.9426,-57005.80,-57.0058,-168076.72,-56.0256
2290,-32981.38,-32.9814,-58749.64,-58.7496,-52975.21,-52.9752,-144706.23,-48.2354
2300,-26333.84,-26.3338,-49462.18,-49.4622,-41027.24,-41.0272,-116823.25,-38.9411
2310,-48386.53,-48.3865,-78240.17,-78.2402,-48198.24,-48.1982,-174824.94,-58.2750
2320,-70590.16,-70.5902,-47973.08,-47.9731,-35512.27,-35.5123,-154075.51,-51.3585
2330,-34567.96,-34.5680,-44156.15,-44.1562,-42990.14,-42.9901,-121714.26,-40.5714
2340,-31794.97,-31.7950,-50885.07,-50.8851,-38850.19,-38.8502,-121530.23,-40.5101
2350,-113277.52,-113.2775,-45818.97,-45.8190,-45470.79,-45.4708,-204567.27,-68.1891
2360,-36990.72,-36.9907,-198004.94,-198.0049,-39390.34,-39.3903,-274386.00,-91.4620
2370,-40232.07,-40.2321,-49806.05,-49.8060,-59524.92,-59.5249,-149563.03,-49.8543
2380,-100051.01,-100.0510,-62858.68,-62.8587,-63643.13,-63.6431,-226552.82,-75.5176
Cycle,robot1_Total_Reward,robot1_Avg_Reward_per_Step,robot2_Total_Reward,robot2_Avg_Reward_per_Step,robot3_Total_Reward,robot3_Avg_Reward_per_Step,System_Total_Reward,System_Avg_Reward_per_Step
2390,-41322.16,-41.3222,-81671.29,-81.6713,-86911.58,-86.9116,-209905.03,-69.9683
2400,-60216.50,-60.2165,-95518.26,-95.5183,-53795.87,-53.7959,-209530.64,-69.8435
2410,-57599.43,-57.5994,-55833.73,-55.8337,-51750.70,-51.7507,-165183.86,-55.0613
2420,-49830.46,-49.8305,-57267.41,-57.2674,-53245.23,-53.2452,-160343.11,-53.4477
2430,-62930.22,-62.9302,-71304.65,-71.3046,-39361.19,-39.3612,-173596.06,-57.8654
2440,-44243.02,-44.2430,-55576.86,-55.5769,-69663.49,-69.6635,-169483.36,-56.4945
2450,-38881.44,-38.8814,-46794.48,-46.7945,-61689.77,-61.6898,-147365.69,-49.1219
2460,-52846.21,-52.8462,-41499.56,-41.4996,-49337.41,-49.3374,-143683.18,-47.8944
2470,-39946.83,-39.9468,-39347.87,-39.3479,-89112.05,-89.1121,-168406.75,-56.1356
2480,-66188.89,-66.1889,-65366.41,-65.3664,-64184.33,-64.1843,-195739.63,-65.2465
2490,-40465.29,-40.4653,-55883.30,-55.8833,-35954.90,-35.9549,-132303.48,-44.1012
2500,-57906.49,-57.9065,-51663.72,-51.6637,-76790.94,-76.7909,-186361.15,-62.1204
2510,-30711.48,-30.7115,-49551.29,-49.5513,-31242.95,-31.2430,-111505.73,-37.1686
Cycle,robot1_Total_Reward,robot1_Avg_Reward_per_Step,robot2_Total_Reward,robot2_Avg_Reward_per_Step,robot3_Total_Reward,robot3_Avg_Reward_per_Step,System_Total_Reward,System_Avg_Reward_per_Step
